Gymnasieprogram_kod,Gymnasieprogram,Gymnasieprogramstyp
RLKOKVLRI,"Restaurang- och livsmedelsprogrammet; Kök och servering, särskild variant, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
RLKOKVLRN,"Restaurang- och livsmedelsprogrammet; Kök och servering, särskild variant, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RLKOTV0R,"Restaurang- och livsmedelsprogrammet, Särskild variant, kött och chark (riksrekryterande)",Yrkesprogram
RLKOTV0RI,"Restaurang- och livsmedelsprogrammet; Särskild variant, kött och chark (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
RLKOTV0RN,"Restaurang- och livsmedelsprogrammet; Särskild variant, kött och chark (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RLKOTVAR,"Restaurang- och livsmedelsprogrammet; Särskild variant, kött och chark, anställd lärling (riksrekryterande)",Yrkesprogram
RLKOTVARI,"Restaurang- och livsmedelsprogrammet; Särskild variant, kött och chark, anställd lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
RLKOTVARN,"Restaurang- och livsmedelsprogrammet; Särskild variant, kött och chark, anställd lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RLKOTVLR,"Restaurang- och livsmedelsprogrammet, Särskild variant, kött och chark, lärling (riksrekryterande)",Yrkesprogram
RLKOTVLRI,"Restaurang- och livsmedelsprogrammet; Särskild variant, kött och chark, lärling (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Yrkesprogram
RLKOTVLRN,"Restaurang- och livsmedelsprogrammet; Särskild variant, kött och chark, lärling (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Yrkesprogram
RXA,RX-Samiska yrkesutbildningen,Riksrekryterande yrkesutbildning
RXA00000I,RX-Utbildningen samiska näringar (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXA00000N,RX-Utbildningen samiska näringar (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXDAC,"RX-Sjöfartsutbildningen, Däck",Riksrekryterande yrkesutbildning
RXDAC000I,RX-Sjöfartsutbildningen; Däck (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXDAC000N,RX-Sjöfartsutbildningen; Däck (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXDAC0L,"RX-Sjöfartsutbildningen, Däck, lärling",Riksrekryterande yrkesutbildning
RXDAC0L0I,"RX-Sjöfartsutbildningen; Däck, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
RXDAC0L0N,"RX-Sjöfartsutbildningen; Däck, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
RXELO,"RX-Marinteknikutbildningen, El och elektronik",Riksrekryterande yrkesutbildning
RXELO000I,RX-Marinteknikutbildningen; El och elektronik (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXELO000N,RX-Marinteknikutbildningen; El och elektronik (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXELO0L,"RX-Marinteknikutbildningen, El och elektronik, lärling",Riksrekryterande yrkesutbildning
RXELO0L0I,"RX-Marinteknikutbildningen; El och elektronik, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
RXELO0L0N,"RX-Marinteknikutbildningen; El och elektronik, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
RXF,RX-Flygteknikutbildningen,Riksrekryterande yrkesutbildning
RXF00000I,RX-Flygteknikutbildningen (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXF00000N,RX-Flygteknikutbildningen (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXFLY,"RX-Flygteknikutbildningen, Flygplan",Riksrekryterande yrkesutbildning
RXFLY000I,RX-Flygteknikutbildningen; Flygplan (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXFLY000N,RX-Flygteknikutbildningen; Flygplan (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXFLY0L,"RX-Flygteknikutbildningen, Flygplan, Lärling",Riksrekryterande yrkesutbildning
RXFLY0L0I,"RX-Flygteknikutbildningen; Flygplan, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
RXFLY0L0N,"RX-Flygteknikutbildningen; Flygplan, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
RXHEL,"RX-Flygteknikutbildningen, Helikopter",Riksrekryterande yrkesutbildning
RXHEL000I,RX-Flygteknikutbildningen; Helikopter (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXHEL000N,RX-Flygteknikutbildningen; Helikopter (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXHEL0L,"RX-Flygteknikutbildningen, Helikopter, lärling",Riksrekryterande yrkesutbildning
RXHEL0L0I,"RX-Flygteknikutbildningen; Helikopter, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
RXHEL0L0N,"RX-Flygteknikutbildningen; Helikopter, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
RXM,RX-Marinteknikutbildningen,Riksrekryterande yrkesutbildning
RXM00000I,RX-Marinteknikutbildningen (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXM00000N,RX-Marinteknikutbildningen (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXMAS,"RX-Sjöfartsutbildningen, Maskin",Riksrekryterande yrkesutbildning
RXMAS000I,RX-Sjöfartsutbildningen; Maskin (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXMAS000N,RX-Sjöfartsutbildningen; Maskin (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXMAS0L,"RX-Sjöfartsutbildningen, Maskin, lärling",Riksrekryterande yrkesutbildning
RXMAS0L0I,"RX-Sjöfartsutbildningen; Maskin, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
RXMAS0L0N,"RX-Sjöfartsutbildningen; Maskin, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
RXS,RX-Sjöfartsutbildningen,Riksrekryterande yrkesutbildning
RXS00000I,RX-Sjöfartsutbildningen (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXS00000N,RX-Sjöfartsutbildningen (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXSAM,RX-Utbildningen samiska näringar;,Riksrekryterande yrkesutbildning
RXSAM000I,RX-Utbildningen samiska näringar; (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXSAM000N,RX-Utbildningen samiska näringar; (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXSAM0L,RX-Utbildningen samiska näringar; lärling,Riksrekryterande yrkesutbildning
RXSAM0L0I,RX-Utbildningen samiska näringar; lärling (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXSAM0L0N,RX-Utbildningen samiska näringar; lärling (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXSER,"RX-Marinteknikutbildningen, Service och reparation",Riksrekryterande yrkesutbildning
RXSER000I,RX-Marinteknikutbildningen; Service och reparation (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXSER000N,RX-Marinteknikutbildningen; Service och reparation (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXSER0L,"RX-Marinteknikutbildningen, Service och reparation, lärling",Riksrekryterande yrkesutbildning
RXSER0L0I,"RX-Marinteknikutbildningen; Service och reparation, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
RXSER0L0N,"RX-Marinteknikutbildningen; Service och reparation, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
RXT,RX-Tågteknikerutbildningen,Riksrekryterande yrkesutbildning
RXT00000I,RX-Tågteknikerutbildningen (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXT00000N,RX-Tågteknikerutbildningen (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXTAG,"RX-Tågteknikerutbildningen, Tåg",Riksrekryterande yrkesutbildning
RXTAG000I,RX-Tågteknikerutbildningen; Tåg (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
RXTAG000N,RX-Tågteknikerutbildningen; Tåg (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
RXTAG0L,"RX-Tågteknikerutbildningen, Tåg, lärling",Riksrekryterande yrkesutbildning
RXTAG0L0I,"RX-Tågteknikerutbildningen; Tåg, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
RXTAG0L0N,"RX-Tågteknikerutbildningen; Tåg, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
RXYRK,"RX-Yrkesdansarutbildningen,",Riksrekryterande särskild yrkesutbildning
RXYRK000I,RX-Yrkesdansarutbildningen; (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande särskild yrkesutbildning
RXYRK000N,RX-Yrkesdansarutbildningen; (Nationellt godkänd idrottsutbildning),Riksrekryterande särskild yrkesutbildning
RXYRK0L,RX-Yrkesdansarutbildningen; lärling,Riksrekryterande särskild yrkesutbildning
RXYRK0L0I,RX-Yrkesdansarutbildningen; lärling (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande särskild yrkesutbildning
RXYRK0L0N,RX-Yrkesdansarutbildningen; lärling (Nationellt godkänd idrottsutbildning),Riksrekryterande särskild yrkesutbildning
SA,Samhällsvetenskapsprogrammet,Högskoleförberedande program
SA000000I,Samhällsvetenskapsprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
SA000000N,Samhällsvetenskapsprogrammet (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
SABET,"Samhällsvetenskapsprogrammet, Beteendevetenskap",Högskoleförberedande program
SABET000I,Samhällsvetenskapsprogrammet; Beteendevetenskap (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
SABET000N,Samhällsvetenskapsprogrammet; Beteendevetenskap (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
SABET0S,"Samhällsvetenskapsprogrammet, Beteendevetenskap (spetsutbildning)",Högskoleförberedande program
SABET0S0I,Samhällsvetenskapsprogrammet; Beteendevetenskap (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
SABET0S0N,Samhällsvetenskapsprogrammet; Beteendevetenskap (spetsutbildning) (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
SABETV0R,"Samhällsvetenskapsprogrammet, Beteendevetenskap, särskild variant (riksrekryterande)",Högskoleförberedande program
SABETV0RI,"Samhällsvetenskapsprogrammet; Beteendevetenskap, särskild variant (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SABETV0RN,"Samhällsvetenskapsprogrammet; Beteendevetenskap, särskild variant (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SABETVE,"Samhällsvetenskapsprogrammet, Beteendevetenskap, särskild variant inom det estetiska området",Högskoleförberedande program
SABETVE0I,"Samhällsvetenskapsprogrammet; Beteendevetenskap, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SABETVE0N,"Samhällsvetenskapsprogrammet; Beteendevetenskap, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SABILVE,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, bild",Högskoleförberedande program
SABILVE0I,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, bild (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SABILVE0N,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, bild (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SADANVE,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, dans",Högskoleförberedande program
SADANVE0I,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, dans (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SADANVE0N,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, dans (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SADESVE,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, design",Högskoleförberedande program
SAESEVE,"Samhällsvetenskapsprogrammet, Särskild variant inom det estetiska området, estetisk kommunikation",Högskoleförberedande program
SAESEVE0I,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, estetisk kommunikation (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAESEVE0N,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, estetisk kommunikation (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SAHALVS,"Samhällsvetenskapsprogrammet, Särskild variant, hållbar utveckling (spetsutbildning)",Högskoleförberedande program
SAHALVS0I,"Samhällsvetenskapsprogrammet; Särskild variant, hållbar utveckling (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAHALVS0N,"Samhällsvetenskapsprogrammet; Särskild variant, hållbar utveckling (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SAHISVS,"Samhällsvetenskapsprogrammet, Särskild variant, historia (spetsutbildning)",Högskoleförberedande program
SAHISVS0I,"Samhällsvetenskapsprogrammet; Särskild variant, historia (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAHISVS0N,"Samhällsvetenskapsprogrammet; Särskild variant, historia (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SAHUMVS,"Samhällsvetenskapsprogrammet, Särskild variant, humaniora (spetsutbildning)",Högskoleförberedande program
SAHUMVS0I,"Samhällsvetenskapsprogrammet; Särskild variant, humaniora (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAHUMVS0N,"Samhällsvetenskapsprogrammet; Särskild variant, humaniora (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SAINDVS,"Samhällsvetenskapsprogrammet, Särskild variant, individ och samtidskultur (spetsutbildning)",Högskoleförberedande program
SAINDVS0I,"Samhällsvetenskapsprogrammet; Särskild variant, individ och samtidskultur (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAINDVS0N,"Samhällsvetenskapsprogrammet; Särskild variant, individ och samtidskultur (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SAMED,"Samhällsvetenskapsprogrammet, Medier, information och kommunikation",Högskoleförberedande program
SAMED000I,"Samhällsvetenskapsprogrammet; Medier, information och kommunikation (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAMED000N,"Samhällsvetenskapsprogrammet; Medier, information och kommunikation (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SAMEDV0R,"Samhällsvetenskapsprogrammet, Medier, information och kommunikation, särskild variant (riksrekryterande)",Högskoleförberedande program
SAMEDV0RI,"Samhällsvetenskapsprogrammet; Medier, information och kommunikation, särskild variant (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAMEDV0RN,"Samhällsvetenskapsprogrammet; Medier, information och kommunikation, särskild variant (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SAMEDVE,"Samhällsvetenskapsprogrammet, Medier, information och kommunikation, särskild variant inom det estetiska området",Högskoleförberedande program
SAMEDVE0I,"Samhällsvetenskapsprogrammet; Medier, information och kommunikation, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAMEDVE0N,"Samhällsvetenskapsprogrammet; Medier, information och kommunikation, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SAMUSVE,"Samhällsvetenskapsprogrammet, Särskild variant inom det estetiska området, musik",Högskoleförberedande program
SAMUSVE0I,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, musik (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAMUSVE0N,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, musik (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SASAIV,"Samhällsvetenskapsprogrammet; Särskild variant, samisk profil",Högskoleförberedande program
SASAIV00I,"Samhällsvetenskapsprogrammet; Särskild variant, samisk profil (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SASAIV00N,"Samhällsvetenskapsprogrammet; Särskild variant, samisk profil (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SASAIV0R,"Samhällsvetenskapsprogrammet, Särskild variant, samisk profil (riksrekryterande)",Högskoleförberedande program
SASAIV0RI,"Samhällsvetenskapsprogrammet; Särskild variant, samisk profil (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SASAIV0RN,"Samhällsvetenskapsprogrammet; Särskild variant, samisk profil (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SASAM,"Samhällsvetenskapsprogrammet, Samhällsvetenskap",Högskoleförberedande program
SASAM000I,Samhällsvetenskapsprogrammet; Samhällsvetenskap (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
SASAM000N,Samhällsvetenskapsprogrammet; Samhällsvetenskap (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
SASAM0S,"Samhällsvetenskapsprogrammet, Samhällsvetenskap (spetsutbildning)",Högskoleförberedande program
SASAM0S0I,Samhällsvetenskapsprogrammet; Samhällsvetenskap (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
SASAM0S0N,Samhällsvetenskapsprogrammet; Samhällsvetenskap (spetsutbildning) (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
SASAMV,"Samhällsvetenskapsprogrammet; Samhällsvetenskap, särskild variant",Högskoleförberedande program
SASAMV00N,"Samhällsvetenskapsprogrammet; Samhällsvetenskap, särskild variant (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SASAMV0R,"Samhällsvetenskapsprogrammet, Samhällsvetenskap, särskild variant (riksrekryterande)",Högskoleförberedande program
SASAMV0RI,"Samhällsvetenskapsprogrammet; Samhällsvetenskap, särskild variant (riksrekryterande) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SASAMV0RN,"Samhällsvetenskapsprogrammet; Samhällsvetenskap, särskild variant (riksrekryterande) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SASAMVE,"Samhällsvetenskapsprogrammet, Samhällsvetenskap, särskild variant inom det estetiska området",Högskoleförberedande program
SASAMVE0I,"Samhällsvetenskapsprogrammet; Samhällsvetenskap, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SASAMVE0N,"Samhällsvetenskapsprogrammet; Samhällsvetenskap, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SASPAVS,"Samhällsvetenskapsprogrammet; Särskild variant, språk (spetsutbildning)",Högskoleförberedande program
SASPAVS0I,"Samhällsvetenskapsprogrammet; Särskild variant, språk (spetsutbildning) (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SASPAVS0N,"Samhällsvetenskapsprogrammet; Särskild variant, språk (spetsutbildning) (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SATEAVE,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, teater",Högskoleförberedande program
SATEAVE0I,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, teater (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SATEAVE0N,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, teater (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SAWALVE,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, Waldorf",Högskoleförberedande program
SAWALVE0I,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, Waldorf (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
SAWALVE0N,"Samhällsvetenskapsprogrammet; Särskild variant inom det estetiska området, Waldorf (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
SX,Sjöfartsutbildningen,Riksrekryterande yrkesutbildning
SX000000I,Sjöfartsutbildningen (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
SX000000N,Sjöfartsutbildningen (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
SXDAC,Sjöfartsutbildningen; Däck,Riksrekryterande yrkesutbildning
SXDAC000I,Sjöfartsutbildningen; Däck (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
SXDAC000N,Sjöfartsutbildningen; Däck (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
SXDAC0A,"Sjöfartsutbildningen; Däck, anställd lärling",Riksrekryterande yrkesutbildning
SXDAC0A0I,"Sjöfartsutbildningen; Däck, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
SXDAC0A0N,"Sjöfartsutbildningen; Däck, anställd lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
SXDAC0L,"Sjöfartsutbildningen; Däck, lärling",Riksrekryterande yrkesutbildning
SXDAC0L0I,"Sjöfartsutbildningen; Däck, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
SXDAC0L0N,"Sjöfartsutbildningen; Däck, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
SXMAS,Sjöfartsutbildningen; Maskin,Riksrekryterande yrkesutbildning
SXMAS000I,Sjöfartsutbildningen; Maskin (Idrottsutbildning vid riksidrottsgymnasium),Riksrekryterande yrkesutbildning
SXMAS000N,Sjöfartsutbildningen; Maskin (Nationellt godkänd idrottsutbildning),Riksrekryterande yrkesutbildning
SXMAS0A,"Sjöfartsutbildningen; Maskin, anställd lärling",Riksrekryterande yrkesutbildning
SXMAS0A0I,"Sjöfartsutbildningen; Maskin, anställd lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
SXMAS0A0N,"Sjöfartsutbildningen; Maskin, anställd lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
SXMAS0L,"Sjöfartsutbildningen; Maskin, lärling",Riksrekryterande yrkesutbildning
SXMAS0L0I,"Sjöfartsutbildningen; Maskin, lärling (Idrottsutbildning vid riksidrottsgymnasium)",Riksrekryterande yrkesutbildning
SXMAS0L0N,"Sjöfartsutbildningen; Maskin, lärling (Nationellt godkänd idrottsutbildning)",Riksrekryterande yrkesutbildning
T4INF,"Teknikprogrammet, Gymnasieingenjörsexamen, fjärde tekniskt år, informationsteknik",Högskoleförberedande program
T4INF000I,"Teknikprogrammet; Gymnasieingenjörsexamen, fjärde tekniskt år, informationsteknik (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
T4INF000N,"Teknikprogrammet; Gymnasieingenjörsexamen, fjärde tekniskt år, informationsteknik (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
T4INN,"Teknikprogrammet, Gymnasieingenjörsexamen, fjärde tekniskt år, innovation och produktion",Högskoleförberedande program
T4INN000I,"Teknikprogrammet; Gymnasieingenjörsexamen, fjärde tekniskt år, innovation och produktion (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
T4INN000N,"Teknikprogrammet; Gymnasieingenjörsexamen, fjärde tekniskt år, innovation och produktion (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
T4SAM,"Teknikprogrammet, Gymnasieingenjörsexamen, fjärde tekniskt år, samhällsbyggande",Högskoleförberedande program
T4SAM000I,"Teknikprogrammet; Gymnasieingenjörsexamen, fjärde tekniskt år, samhällsbyggande (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
T4SAM000N,"Teknikprogrammet; Gymnasieingenjörsexamen, fjärde tekniskt år, samhällsbyggande (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
TE,Teknikprogrammet,Högskoleförberedande program
TE000000I,Teknikprogrammet (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
TE000000N,Teknikprogrammet (NIU),Högskoleförberedande program
TEDES,"Teknikprogrammet, Design och produktutveckling",Högskoleförberedande program
TEDES000I,Teknikprogrammet; Design och produktutveckling (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
TEDES000N,Teknikprogrammet; Design och produktutveckling (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
TEDESVE,"Teknikprogrammet, Design och produktutveckling, särskild variant inom det estetiska området",Högskoleförberedande program
TEDESVE0I,"Teknikprogrammet; Design och produktutveckling, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
TEDESVE0N,"Teknikprogrammet; Design och produktutveckling, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
TEINF,"Teknikprogrammet, Informations- och medieteknik",Högskoleförberedande program
TEINF000I,Teknikprogrammet; Informations- och medieteknik (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
TEINF000N,Teknikprogrammet; Informations- och medieteknik (NIU),Högskoleförberedande program
TEINFVE,"Teknikprogrammet, Informations- och medieteknik, särskild variant inom det estetiska området",Högskoleförberedande program
TEINFVE0I,"Teknikprogrammet; Informations- och medieteknik, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
TEINFVE0N,"Teknikprogrammet; Informations- och medieteknik, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
TELOGVS,"Teknikprogrammet; Särskild variant, logistik och e-handel",Högskoleförberedande program
TELOGVS0I,"Teknikprogrammet; Särskild variant, logistik och e-handel (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
TELOGVS0N,"Teknikprogrammet; Särskild variant, logistik och e-handel (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
TEPRO,"Teknikprogrammet, Produktionsteknik",Högskoleförberedande program
TEPRO000I,Teknikprogrammet; Produktionsteknik (Idrottsutbildning vid riksidrottsgymnasium),Högskoleförberedande program
TEPRO000N,Teknikprogrammet; Produktionsteknik (Nationellt godkänd idrottsutbildning),Högskoleförberedande program
TEPROVE,"Teknikprogrammet, Produktionsteknik, särskild variant inom det estetiska området",Högskoleförberedande program
TEPROVE0I,"Teknikprogrammet; Produktionsteknik, särskild variant inom det estetiska området (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
TEPROVE0N,"Teknikprogrammet; Produktionsteknik, särskild variant inom det estetiska området (Nationellt godkänd idrottsutbildning)",Högskoleförberedande program
TEROBVS,"Teknikprogrammet; Särskild variant, smarta system och produkter",Högskoleförberedande program
TEROBVS0I,"Teknikprogrammet; Särskild variant, smarta system och produkter (Idrottsutbildning vid riksidrottsgymnasium)",Högskoleförberedande program
